,artist_genre,artist_name,time_range,track_id,track_name
0,anime rock,Official HIGE DANdism,short_term,0YSwpzZT1sUkrL3kTIoHE2,Itan na star
1,j-pop,Official HIGE DANdism,short_term,0YSwpzZT1sUkrL3kTIoHE2,Itan na star
2,k-hop,DPR LIVE,short_term,4tJl1AVYE6WFAWtuAEhxpM,Please
3,k-pop,DPR LIVE,short_term,4tJl1AVYE6WFAWtuAEhxpM,Please
4,korean r&b,DPR LIVE,short_term,4tJl1AVYE6WFAWtuAEhxpM,Please
5,conscious hip hop,Logic,short_term,17N5FdRwJuv3UXQ7MHnbhF,Ballin
6,dmv rap,Logic,short_term,17N5FdRwJuv3UXQ7MHnbhF,Ballin
7,hip hop,Logic,short_term,17N5FdRwJuv3UXQ7MHnbhF,Ballin
8,pop rap,Logic,short_term,17N5FdRwJuv3UXQ7MHnbhF,Ballin
9,rap,Logic,short_term,17N5FdRwJuv3UXQ7MHnbhF,Ballin
10,late romantic era,Pablo de Sarasate,short_term,5aq7wRwq9IDDqAa56x7Yws,"Zigeunerweisen, Op. 20: Lento"
11,violin,Pablo de Sarasate,short_term,5aq7wRwq9IDDqAa56x7Yws,"Zigeunerweisen, Op. 20: Lento"
12,contemporary jazz,Hiromi,short_term,2tvXdkylO2rwJXziHNpQ26,Blackbird
13,contemporary post-bop,Hiromi,short_term,2tvXdkylO2rwJXziHNpQ26,Blackbird
14,japanese jazz,Hiromi,short_term,2tvXdkylO2rwJXziHNpQ26,Blackbird
15,jazz funk,Hiromi,short_term,2tvXdkylO2rwJXziHNpQ26,Blackbird
16,jazz fusion,Hiromi,short_term,2tvXdkylO2rwJXziHNpQ26,Blackbird
17,indie r&b,Bruno Major,short_term,2k9N4caeCIJLOWwWwssrEM,Easily
18,pop,Bruno Major,short_term,2k9N4caeCIJLOWwWwssrEM,Easily
19,alternative r&b,Mac Ayres,short_term,58dSdjfEYNSxte1aNVxuNf,Easy
20,indie r&b,Mac Ayres,short_term,58dSdjfEYNSxte1aNVxuNf,Easy
21,indie soul,Mac Ayres,short_term,58dSdjfEYNSxte1aNVxuNf,Easy
22,classical,Sergei Rachmaninoff,short_term,2GBwDtpuNit18S9L3hFVAv,"Concerto pour Piano et Orchestre No. 1 en Fa Dièse Mineur, Op. 1: I. Vivace"
23,post-romantic era,Sergei Rachmaninoff,short_term,2GBwDtpuNit18S9L3hFVAv,"Concerto pour Piano et Orchestre No. 1 en Fa Dièse Mineur, Op. 1: I. Vivace"
24,russian romanticism,Sergei Rachmaninoff,short_term,2GBwDtpuNit18S9L3hFVAv,"Concerto pour Piano et Orchestre No. 1 en Fa Dièse Mineur, Op. 1: I. Vivace"
25,ukrainian classical,Sergei Rachmaninoff,short_term,2GBwDtpuNit18S9L3hFVAv,"Concerto pour Piano et Orchestre No. 1 en Fa Dièse Mineur, Op. 1: I. Vivace"
26,j-pop,androp,short_term,4s6ZktLNLZnk1osl3Vf1ZO,Koi
27,j-rock,androp,short_term,4s6ZktLNLZnk1osl3Vf1ZO,Koi
28,japanese alternative rock,androp,short_term,4s6ZktLNLZnk1osl3Vf1ZO,Koi
29,g funk,Dr. Dre,short_term,0EZMXJMWf0tLKRWwCiA6Sx,Let's Get High
30,gangster rap,Dr. Dre,short_term,0EZMXJMWf0tLKRWwCiA6Sx,Let's Get High
31,hip hop,Dr. Dre,short_term,0EZMXJMWf0tLKRWwCiA6Sx,Let's Get High
32,rap,Dr. Dre,short_term,0EZMXJMWf0tLKRWwCiA6Sx,Let's Get High
33,west coast rap,Dr. Dre,short_term,0EZMXJMWf0tLKRWwCiA6Sx,Let's Get High
34,neo mellow,Jack Johnson,short_term,41Az1BCotlAUt7Ud8k6H2Y,Sunsets For Somebody Else
35,classical,Felix Mendelssohn,short_term,2eA55e1I1PmBIW8gBZ9VNK,"Klavierkonzert Nr. 1 g-Moll, Op. 25: I. Molto allegro con fuoco"
36,early romantic era,Felix Mendelssohn,short_term,2eA55e1I1PmBIW8gBZ9VNK,"Klavierkonzert Nr. 1 g-Moll, Op. 25: I. Molto allegro con fuoco"
37,piano cover,Kowrites,short_term,63SdQkVlToSix76P4VmOQO,Shibuya Stroll
38,classical,Sergei Rachmaninoff,short_term,2oy9WInmvap0o7LYGW3T8n,"Concerto pour Piano et Orchestre No. 1 en Fa Dièse Mineur, Op. 1: II. Andante"
39,post-romantic era,Sergei Rachmaninoff,short_term,2oy9WInmvap0o7LYGW3T8n,"Concerto pour Piano et Orchestre No. 1 en Fa Dièse Mineur, Op. 1: II. Andante"
40,russian romanticism,Sergei Rachmaninoff,short_term,2oy9WInmvap0o7LYGW3T8n,"Concerto pour Piano et Orchestre No. 1 en Fa Dièse Mineur, Op. 1: II. Andante"
41,ukrainian classical,Sergei Rachmaninoff,short_term,2oy9WInmvap0o7LYGW3T8n,"Concerto pour Piano et Orchestre No. 1 en Fa Dièse Mineur, Op. 1: II. Andante"
42,modern blues,Leon Bridges,short_term,1Omt5bfz1tZUCqd26HxbS0,Beyond
43,soul,Leon Bridges,short_term,1Omt5bfz1tZUCqd26HxbS0,Beyond
44,g funk,Dr. Dre,short_term,7iXF2W9vKmDoGAhlHdpyIa,Forgot About Dre
45,gangster rap,Dr. Dre,short_term,7iXF2W9vKmDoGAhlHdpyIa,Forgot About Dre
46,hip hop,Dr. Dre,short_term,7iXF2W9vKmDoGAhlHdpyIa,Forgot About Dre
47,rap,Dr. Dre,short_term,7iXF2W9vKmDoGAhlHdpyIa,Forgot About Dre
48,west coast rap,Dr. Dre,short_term,7iXF2W9vKmDoGAhlHdpyIa,Forgot About Dre
49,catstep,Nitro Fun,short_term,2iQVxrAzwy8dMG0yldSaIg,New Game
50,complextro,Nitro Fun,short_term,2iQVxrAzwy8dMG0yldSaIg,New Game
51,deep dubstep,Nitro Fun,short_term,2iQVxrAzwy8dMG0yldSaIg,New Game
52,edm,Nitro Fun,short_term,2iQVxrAzwy8dMG0yldSaIg,New Game
53,electro house,Nitro Fun,short_term,2iQVxrAzwy8dMG0yldSaIg,New Game
54,alternative r&b,Mac Ayres,short_term,4M4ECspANZPJuqacpi1NTn,Should We Take The Van?
55,indie r&b,Mac Ayres,short_term,4M4ECspANZPJuqacpi1NTn,Should We Take The Van?
56,indie soul,Mac Ayres,short_term,4M4ECspANZPJuqacpi1NTn,Should We Take The Van?
57,conscious hip hop,Kendrick Lamar,short_term,7KXjTSCq5nL1LoYtL7XAwS,HUMBLE.
58,hip hop,Kendrick Lamar,short_term,7KXjTSCq5nL1LoYtL7XAwS,HUMBLE.
59,rap,Kendrick Lamar,short_term,7KXjTSCq5nL1LoYtL7XAwS,HUMBLE.
60,west coast rap,Kendrick Lamar,short_term,7KXjTSCq5nL1LoYtL7XAwS,HUMBLE.
61,cali rap,Problem,short_term,66kSqGS2iwHK20sxjrZct4,Better Watch Yo Self
62,gangster rap,Problem,short_term,66kSqGS2iwHK20sxjrZct4,Better Watch Yo Self
63,hyphy,Problem,short_term,66kSqGS2iwHK20sxjrZct4,Better Watch Yo Self
64,rap,Problem,short_term,66kSqGS2iwHK20sxjrZct4,Better Watch Yo Self
65,southern hip hop,Problem,short_term,66kSqGS2iwHK20sxjrZct4,Better Watch Yo Self
66,trap,Problem,short_term,66kSqGS2iwHK20sxjrZct4,Better Watch Yo Self
67,west coast trap,Problem,short_term,66kSqGS2iwHK20sxjrZct4,Better Watch Yo Self
68,classical,Felix Mendelssohn,short_term,1XlvyqVNz36t1CyWF3HQIM,"Capriccio brillant in B Minor, Op. 22"
69,early romantic era,Felix Mendelssohn,short_term,1XlvyqVNz36t1CyWF3HQIM,"Capriccio brillant in B Minor, Op. 22"
70,classical,Felix Mendelssohn,short_term,2OD4MN67xEcDZlZRedolTB,"Piano Concerto No. 2 in D Minor, Op. 40, MWV O11: I. Allegro appassionato"
71,early romantic era,Felix Mendelssohn,short_term,2OD4MN67xEcDZlZRedolTB,"Piano Concerto No. 2 in D Minor, Op. 40, MWV O11: I. Allegro appassionato"
72,classical,Fritz Kreisler,short_term,2TWxKZIa9HvlLI6xbSVUQF,Tartini: The Devil's Trill
73,post-romantic era,Fritz Kreisler,short_term,2TWxKZIa9HvlLI6xbSVUQF,Tartini: The Devil's Trill
74,violin,Fritz Kreisler,short_term,2TWxKZIa9HvlLI6xbSVUQF,Tartini: The Devil's Trill
75,classical,Fritz Kreisler,short_term,7mqqI1Siu6ZOdC2KgOGGud,Kreisler: Andantino - in the style of Martini
76,post-romantic era,Fritz Kreisler,short_term,7mqqI1Siu6ZOdC2KgOGGud,Kreisler: Andantino - in the style of Martini
77,violin,Fritz Kreisler,short_term,7mqqI1Siu6ZOdC2KgOGGud,Kreisler: Andantino - in the style of Martini
78,classical,Borodin Quartet,short_term,6BebarNIdE5FfxXDlPpZ5y,"Souvenir De Florence, Op. 70: IV. Allegro Vivace"
79,classical performance,Borodin Quartet,short_term,6BebarNIdE5FfxXDlPpZ5y,"Souvenir De Florence, Op. 70: IV. Allegro Vivace"
80,string quartet,Borodin Quartet,short_term,6BebarNIdE5FfxXDlPpZ5y,"Souvenir De Florence, Op. 70: IV. Allegro Vivace"
81,classical,Felix Mendelssohn,short_term,1AePIQwSF64zof6xXPSO6M,"Klavierkonzert Nr. 1 g-Moll, Op. 25: II. Andante"
82,early romantic era,Felix Mendelssohn,short_term,1AePIQwSF64zof6xXPSO6M,"Klavierkonzert Nr. 1 g-Moll, Op. 25: II. Andante"
83,c-pop,Leslie Cheung,short_term,1eMujWp9h2cSEPIiO6xOhN,有心人
