,artist_genre,artist_name,ft_acousticness,ft_danceability,ft_energy,ft_instrumentalness,ft_key,ft_liveness,ft_loudness,ft_mode,ft_speechiness,ft_tempo,ft_valence,rank,time_range,track_id,track_name,track_popularity,track_release_date,key_note
0,"['anime rock', 'j-pop']",Official HIGE DANdism,0.00157,0.57,0.758,0.0,8,0.367,-3.997,1,0.0323,97.959,0.707,1,short_term,0YSwpzZT1sUkrL3kTIoHE2,Itan na star,38,2017-04-19,G#
1,"['k-hop', 'k-pop', 'korean r&b']",DPR LIVE,0.0935,0.83,0.634,0.0,8,0.133,-5.649,1,0.13,108.038,0.399,2,short_term,4tJl1AVYE6WFAWtuAEhxpM,Please,48,2017-03-15,G#
2,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']",Logic,0.0475,0.737,0.854,0.0,3,0.0905,-6.414,0,0.221,150.621,0.65,3,short_term,17N5FdRwJuv3UXQ7MHnbhF,Ballin,72,2018-06-15,D#
3,"['late romantic era', 'violin']",Pablo de Sarasate,0.815,0.284,0.0949,0.327,0,0.127,-22.629,0,0.0421,101.058,0.0465,4,short_term,5aq7wRwq9IDDqAa56x7Yws,"Zigeunerweisen, Op. 20: Lento",37,1971,C
4,"['contemporary jazz', 'contemporary post-bop', 'japanese jazz', 'jazz funk', 'jazz fusion']",Hiromi,0.993,0.299,0.0919,0.938,7,0.0983,-22.014,1,0.041,104.526,0.107,5,short_term,2tvXdkylO2rwJXziHNpQ26,Blackbird,45,2019-08-23,G
5,"['indie r&b', 'pop']",Bruno Major,0.491,0.772,0.256,0.00612,7,0.144,-8.545,0,0.0481,118.902,0.357,6,short_term,2k9N4caeCIJLOWwWwssrEM,Easily,75,2017-08-31,G
6,"['alternative r&b', 'indie r&b', 'indie soul']",Mac Ayres,0.373,0.722,0.282,0.00557,5,0.147,-7.484,1,0.106,91.367,0.217,7,short_term,58dSdjfEYNSxte1aNVxuNf,Easy,73,2017-08-11,F
7,"['classical', 'post-romantic era', 'russian romanticism', 'ukrainian classical']",Sergei Rachmaninoff,0.982,0.229,0.0967,0.901,11,0.0815,-20.557,0,0.034,92.069,0.0534,8,short_term,2GBwDtpuNit18S9L3hFVAv,"Concerto pour Piano et Orchestre No. 1 en Fa Dièse Mineur, Op. 1: I. Vivace",3,2006,B
8,"['j-pop', 'j-rock', 'japanese alternative rock']",androp,0.726,0.584,0.56,0.0,2,0.096,-7.3,1,0.0384,74.997,0.338,9,short_term,4s6ZktLNLZnk1osl3Vf1ZO,Koi,55,2019-02-20,D
9,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",Dr. Dre,0.055,0.905,0.85,0.0,4,0.0903,-2.795,0,0.331,99.375,0.498,10,short_term,0EZMXJMWf0tLKRWwCiA6Sx,Let's Get High,55,1999-11-16,E
