,rank,time_range,track_id,track_name,track_popularity,track_release_date,artist_genre,artist_name,key_note,ft_danceability,ft_energy,ft_key,ft_loudness,ft_mode,ft_speechiness,ft_acousticness,ft_instrumentalness,ft_liveness,ft_valence,ft_tempo,number_of_repeats
0,1,short_term,0YSwpzZT1sUkrL3kTIoHE2,Itan na star,38,2017-04-19,anime rock,Official HIGE DANdism,G#,0.57,0.758,8,-3.997,1,0.0323,0.00157,0.0,0.36700000000000005,0.7070000000000001,97.959,2
1,1,short_term,0YSwpzZT1sUkrL3kTIoHE2,Itan na star,38,2017-04-19,j-pop,Official HIGE DANdism,G#,0.57,0.758,8,-3.997,1,0.0323,0.00157,0.0,0.36700000000000005,0.7070000000000001,97.959,2
2,2,short_term,4tJl1AVYE6WFAWtuAEhxpM,Please,48,2017-03-15,k-hop,DPR LIVE,G#,0.83,0.634,8,-5.649,1,0.13,0.0935,0.0,0.133,0.39899999999999997,108.038,3
3,2,short_term,4tJl1AVYE6WFAWtuAEhxpM,Please,48,2017-03-15,k-pop,DPR LIVE,G#,0.83,0.634,8,-5.649,1,0.13,0.0935,0.0,0.133,0.39899999999999997,108.038,3
4,2,short_term,4tJl1AVYE6WFAWtuAEhxpM,Please,48,2017-03-15,korean r&b,DPR LIVE,G#,0.83,0.634,8,-5.649,1,0.13,0.0935,0.0,0.133,0.39899999999999997,108.038,3
5,3,short_term,17N5FdRwJuv3UXQ7MHnbhF,Ballin,72,2018-06-15,conscious hip hop,Logic,D#,0.737,0.8540000000000001,3,-6.414,0,0.221,0.0475,0.0,0.0905,0.65,150.621,5
6,3,short_term,17N5FdRwJuv3UXQ7MHnbhF,Ballin,72,2018-06-15,dmv rap,Logic,D#,0.737,0.8540000000000001,3,-6.414,0,0.221,0.0475,0.0,0.0905,0.65,150.621,5
7,3,short_term,17N5FdRwJuv3UXQ7MHnbhF,Ballin,72,2018-06-15,hip hop,Logic,D#,0.737,0.8540000000000001,3,-6.414,0,0.221,0.0475,0.0,0.0905,0.65,150.621,5
8,3,short_term,17N5FdRwJuv3UXQ7MHnbhF,Ballin,72,2018-06-15,pop rap,Logic,D#,0.737,0.8540000000000001,3,-6.414,0,0.221,0.0475,0.0,0.0905,0.65,150.621,5
9,3,short_term,17N5FdRwJuv3UXQ7MHnbhF,Ballin,72,2018-06-15,rap,Logic,D#,0.737,0.8540000000000001,3,-6.414,0,0.221,0.0475,0.0,0.0905,0.65,150.621,5
